event type,time
delete,2023-02-14 18:34:54.346593
view,2023-02-14 18:45:54.635382
update,2023-02-14 18:46:36.971237
view,2023-02-16 17:13:07.551158
delete,2023-02-16 17:13:22.547153
search,2023-02-16 17:13:36.257552
view,2023-02-16 17:26:51.063741
add,2023-02-16 17:27:24.362526
view,2023-02-16 17:29:00.381208
delete,2023-02-16 17:34:43.618763
add,2023-02-16 17:37:18.257894
add,2023-02-16 17:37:44.868093
add,2023-02-28 18:36:21.723837
add,2023-02-28 18:38:44.695594
add,2023-02-28 18:42:08.546987
